[INFO] Initialisiere YOLO Detektor (yolov8n.pt)...
Erfolgreich mit PostgreSQL verbunden (localhost:5432)
Datenbanktabellen erstellt/überprüft

================================================================================
[SYSTEM] LIVE-PERSONENERKENNUNG GESTARTET
================================================================================
  Modell: Ultralytics YOLO vv8
  Ordner X: input_x
  Ordner Y: input_y
  Poll-Intervall: 0.5s
================================================================================

[INFO] Warte auf neue Bilder...

[0066] 21:53:40.117 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0067] 21:53:40.861 | input_y    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0068] 21:53:41.620 | input_y    |  0 Pers | Conf: 0.000 | 0.038s [OK]
[0069] 21:53:42.373 | input_y    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0070] 21:53:45.229 | input_x    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0071] 21:53:45.989 | input_x    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0072] 21:53:46.242 | input_x    |  0 Pers | Conf: 0.000 | 0.034s [OK]
[0073] 21:53:46.997 | input_x    |  0 Pers | Conf: 0.000 | 0.033s [OK]
[0074] 21:53:47.750 | input_x    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0075] 21:53:48.002 | input_y    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0076] 21:53:48.749 | input_y    |  0 Pers | Conf: 0.000 | 0.035s [OK]
[0077] 21:53:49.502 | input_y    |  0 Pers | Conf: 0.000 | 0.031s [OK]
[0078] 21:53:50.248 | input_y    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0079] 21:53:51.001 | input_y    |  0 Pers | Conf: 0.000 | 0.031s [OK]
[0080] 21:53:53.846 | input_x    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0081] 21:53:54.098 | input_x    |  0 Pers | Conf: 0.000 | 0.033s [OK]
[0082] 21:53:54.851 | input_x    |  0 Pers | Conf: 0.000 | 0.031s [OK]
[0083] 21:53:55.599 | input_x    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0084] 21:53:56.357 | input_x    |  0 Pers | Conf: 0.000 | 0.038s [OK]
[0085] 21:53:57.117 | input_y    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0086] 21:53:57.873 | input_y    |  0 Pers | Conf: 0.000 | 0.035s [OK]
[0087] 21:53:58.626 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0088] 21:53:58.880 | input_y    |  0 Pers | Conf: 0.000 | 0.038s [OK]
[0089] 21:53:59.636 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0090] 21:54:02.492 | input_x    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0091] 21:54:02.752 | input_x    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0092] 21:54:03.503 | input_x    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0093] 21:54:04.258 | input_x    |  0 Pers | Conf: 0.000 | 0.031s [OK]
[0094] 21:54:04.507 | input_x    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0095] 21:54:05.265 | input_y    |  0 Pers | Conf: 0.000 | 0.038s [OK]
[0096] 21:54:06.022 | input_y    |  0 Pers | Conf: 0.000 | 0.043s [OK]
[0097] 21:54:06.277 | input_y    |  0 Pers | Conf: 0.000 | 0.031s [OK]
[0098] 21:54:07.025 | input_y    |  0 Pers | Conf: 0.000 | 0.035s [OK]
[0099] 21:54:07.778 | input_y    |  0 Pers | Conf: 0.000 | 0.031s [OK]
[0100] 21:54:10.027 | input_x    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0101] 21:54:10.771 | input_x    |  0 Pers | Conf: 0.000 | 0.033s [OK]
[0102] 21:54:11.521 | input_x    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0103] 21:54:11.771 | input_x    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0104] 21:54:12.523 | input_x    |  0 Pers | Conf: 0.000 | 0.035s [OK]
[0105] 21:54:12.769 | input_y    |  0 Pers | Conf: 0.000 | 0.041s [OK]
[0106] 21:54:13.528 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0107] 21:54:14.281 | input_y    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0108] 21:54:15.029 | input_y    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0109] 21:54:15.773 | input_y    |  0 Pers | Conf: 0.000 | 0.033s [OK]
[0110] 21:54:18.527 | input_x    |  0 Pers | Conf: 0.000 | 0.035s [OK]
[0111] 21:54:19.280 | input_x    |  0 Pers | Conf: 0.000 | 0.033s [OK]
[0112] 21:54:20.633 | input_x    |  0 Pers | Conf: 0.000 | 0.033s [OK]
[0113] 21:54:21.386 | input_x    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0114] 21:54:22.135 | input_x    |  0 Pers | Conf: 0.000 | 0.030s [OK]
[0115] 21:54:22.982 | input_y    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0116] 21:54:23.731 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0117] 21:54:24.478 | input_y    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0118] 21:54:25.226 | input_y    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0119] 21:54:25.474 | input_y    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0120] 21:54:28.231 | input_x    |  0 Pers | Conf: 0.000 | 0.034s [OK]
[0121] 21:54:28.976 | input_x    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0122] 21:54:29.235 | input_x    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0123] 21:54:29.992 | input_x    |  0 Pers | Conf: 0.000 | 0.031s [OK]
[0124] 21:54:30.734 | input_x    |  0 Pers | Conf: 0.000 | 0.035s [OK]
[0125] 21:54:30.986 | input_y    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0126] 21:54:31.734 | input_y    |  0 Pers | Conf: 0.000 | 0.033s [OK]
[0127] 21:54:32.485 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0128] 21:54:33.241 | input_y    |  0 Pers | Conf: 0.000 | 0.035s [OK]
[0129] 21:54:33.993 | input_y    |  0 Pers | Conf: 0.000 | 0.031s [OK]
[0130] 21:54:36.846 | input_x    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0131] 21:54:37.106 | input_x    |  0 Pers | Conf: 0.000 | 0.038s [OK]
[0132] 21:54:37.865 | input_x    |  0 Pers | Conf: 0.000 | 0.043s [OK]
[0133] 21:54:38.622 | input_x    |  0 Pers | Conf: 0.000 | 0.040s [OK]
[0134] 21:54:38.887 | input_x    |  0 Pers | Conf: 0.000 | 0.040s [OK]
[0135] 21:54:39.645 | input_y    |  0 Pers | Conf: 0.000 | 0.034s [OK]
[0136] 21:54:40.399 | input_y    |  0 Pers | Conf: 0.000 | 0.031s [OK]
[0137] 21:54:41.146 | input_y    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0138] 21:54:41.898 | input_y    |  0 Pers | Conf: 0.000 | 0.033s [OK]
[0139] 21:54:42.647 | input_y    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0140] 21:54:45.400 | input_x    |  0 Pers | Conf: 0.000 | 0.034s [OK]
[0141] 21:54:46.152 | input_x    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0142] 21:54:46.409 | input_x    |  0 Pers | Conf: 0.000 | 0.044s [OK]
[0143] 21:54:47.174 | input_x    |  0 Pers | Conf: 0.000 | 0.040s [OK]
[0144] 21:54:47.934 | input_x    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0145] 21:54:48.688 | input_y    |  0 Pers | Conf: 0.000 | 0.040s [OK]
[0146] 21:54:49.446 | input_y    |  0 Pers | Conf: 0.000 | 0.042s [OK]
[0147] 21:54:50.196 | input_y    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0148] 21:54:50.946 | input_y    |  0 Pers | Conf: 0.000 | 0.033s [OK]
[0149] 21:54:51.695 | input_y    |  0 Pers | Conf: 0.000 | 0.033s [OK]
[0150] 21:54:54.447 | input_x    |  0 Pers | Conf: 0.000 | 0.033s [OK]
[0151] 21:54:55.199 | input_x    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0152] 21:54:55.950 | input_x    |  0 Pers | Conf: 0.000 | 0.035s [OK]
[0153] 21:54:57.198 | input_x    |  0 Pers | Conf: 0.000 | 0.031s [OK]
[0154] 21:54:57.947 | input_x    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0155] 21:54:58.697 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0156] 21:54:59.454 | input_y    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0157] 21:55:00.201 | input_y    |  0 Pers | Conf: 0.000 | 0.038s [OK]
[0158] 21:55:00.958 | input_y    |  0 Pers | Conf: 0.000 | 0.038s [OK]
[0159] 21:55:01.714 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0160] 21:55:04.471 | input_x    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0161] 21:55:05.226 | input_x    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0162] 21:55:05.982 | input_x    |  0 Pers | Conf: 0.000 | 0.034s [OK]
[0163] 21:55:06.737 | input_x    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0164] 21:55:07.992 | input_y    |  0 Pers | Conf: 0.000 | 0.040s [OK]
[0165] 21:55:08.750 | input_y    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0166] 21:55:09.506 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0167] 21:55:10.264 | input_y    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0168] 21:55:11.010 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0169] 21:55:25.283 | input_x    |  0 Pers | Conf: 0.000 | 0.043s [OK]
[0170] 21:55:26.042 | input_x    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0171] 21:55:26.302 | input_x    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0172] 21:55:27.055 | input_x    |  0 Pers | Conf: 0.000 | 0.038s [OK]
[0173] 21:55:27.814 | input_x    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0174] 21:55:28.069 | input_y    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0175] 21:55:28.821 | input_y    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0176] 21:55:29.574 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0177] 21:55:30.330 | input_y    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0178] 21:55:30.580 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0179] 21:55:33.441 | input_x    |  0 Pers | Conf: 0.000 | 0.040s [OK]
[0180] 21:55:34.201 | input_x    |  0 Pers | Conf: 0.000 | 0.040s [OK]
[0181] 21:55:34.460 | input_x    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0182] 21:55:35.216 | input_x    |  0 Pers | Conf: 0.000 | 0.041s [OK]
[0183] 21:55:35.971 | input_x    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0184] 21:55:36.225 | input_y    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0185] 21:55:36.982 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0186] 21:55:37.734 | input_y    |  0 Pers | Conf: 0.000 | 0.038s [OK]
[0187] 21:55:38.491 | input_y    |  0 Pers | Conf: 0.000 | 0.040s [OK]
[0188] 21:55:39.249 | input_y    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0189] 21:55:41.507 | input_x    |  0 Pers | Conf: 0.000 | 0.030s [OK]
[0190] 21:55:42.250 | input_x    |  0 Pers | Conf: 0.000 | 0.041s [OK]
[0191] 21:55:43.008 | input_x    |  0 Pers | Conf: 0.000 | 0.040s [OK]
[0192] 21:55:43.267 | input_x    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0193] 21:55:44.023 | input_x    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0194] 21:55:44.781 | input_y    |  0 Pers | Conf: 0.000 | 0.038s [OK]
[0195] 21:55:45.536 | input_y    |  0 Pers | Conf: 0.000 | 0.040s [OK]
[0196] 21:55:45.790 | input_y    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0197] 21:55:46.541 | input_y    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0198] 21:55:47.289 | input_y    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0199] 21:55:49.542 | input_x    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0200] 21:55:50.294 | input_x    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0201] 21:55:51.049 | input_x    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0202] 21:55:51.807 | input_x    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0203] 21:55:52.563 | input_x    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0204] 21:55:53.319 | input_y    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0205] 21:55:54.074 | input_y    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0206] 21:55:54.330 | input_y    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0207] 21:55:55.080 | input_y    |  0 Pers | Conf: 0.000 | 0.041s [OK]
[0208] 21:55:55.837 | input_y    |  0 Pers | Conf: 0.000 | 0.043s [OK]
[0209] 21:55:58.599 | input_x    |  0 Pers | Conf: 0.000 | 0.031s [OK]
[0210] 21:55:59.347 | input_x    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0211] 21:56:00.098 | input_x    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0212] 21:56:00.854 | input_x    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0213] 21:56:01.610 | input_x    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0214] 21:56:02.357 | input_y    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0215] 21:56:03.115 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0216] 21:56:03.869 | input_y    |  0 Pers | Conf: 0.000 | 0.038s [OK]
[0217] 21:56:04.625 | input_y    |  0 Pers | Conf: 0.000 | 0.034s [OK]
[0218] 21:56:04.877 | input_y    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0219] 21:56:07.634 | input_x    |  0 Pers | Conf: 0.000 | 0.035s [OK]
[0220] 21:56:08.386 | input_x    |  0 Pers | Conf: 0.000 | 0.035s [OK]
[0221] 21:56:08.640 | input_x    |  1 Pers | Conf: 0.916 | 0.036s [OK]
[0222] 21:56:09.399 | input_x    |  1 Pers | Conf: 0.916 | 0.041s [OK]
[0223] 21:56:10.152 | input_x    |  1 Pers | Conf: 0.920 | 0.037s [OK]
[0224] 21:56:10.400 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0225] 21:56:11.157 | input_y    |  0 Pers | Conf: 0.000 | 0.034s [OK]
[0226] 21:56:11.911 | input_y    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0227] 21:56:12.671 | input_y    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0228] 21:56:13.425 | input_y    |  0 Pers | Conf: 0.000 | 0.038s [OK]
[0229] 21:56:16.290 | input_x    |  1 Pers | Conf: 0.916 | 0.038s [OK]
[0230] 21:56:17.052 | input_x    |  0 Pers | Conf: 0.000 | 0.039s [OK]
[0231] 21:56:17.811 | input_x    |  0 Pers | Conf: 0.000 | 0.034s [OK]
[0232] 21:56:18.568 | input_x    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0233] 21:56:19.332 | input_x    |  0 Pers | Conf: 0.000 | 0.037s [OK]
[0234] 21:56:19.585 | input_y    |  0 Pers | Conf: 0.000 | 0.035s [OK]
[0235] 21:56:20.340 | input_y    |  1 Pers | Conf: 0.911 | 0.036s [OK]
[0236] 21:56:21.098 | input_y    |  1 Pers | Conf: 0.913 | 0.039s [OK]
[0237] 21:56:22.458 | input_y    |  1 Pers | Conf: 0.907 | 0.031s [OK]
[0238] 21:56:23.207 | input_y    |  1 Pers | Conf: 0.911 | 0.030s [OK]
[0239] 21:56:25.955 | input_x    |  0 Pers | Conf: 0.000 | 0.042s [OK]
[0240] 21:56:26.716 | input_x    |  0 Pers | Conf: 0.000 | 0.031s [OK]
[0241] 21:56:27.461 | input_x    |  0 Pers | Conf: 0.000 | 0.032s [OK]
[0242] 21:56:28.208 | input_x    |  0 Pers | Conf: 0.000 | 0.036s [OK]
[0243] 21:56:28.963 | input_x    |  0 Pers | Conf: 0.000 | 0.031s [OK]
