id,timestamp,source,persons_detected,avg_confidence,max_confidence,min_confidence,detection_data,processed,used_in_pattern,pattern_id
7751,2025-11-09 20:03:21.184715,input_x,1,0.9356035,0.9356035,0.9356035,"{""persons"": [{""bbox"": [579.8699340820312, 321.2156066894531, 1494.229248046875, 1070.211181640625], ""confidence"": 0.9356034994125366}], ""confidences"": [0.9356034994125366], ""avg_confidence"": 0.9356034994125366, ""max_confidence"": 0.9356034994125366, ""min_confidence"": 0.9356034994125366, ""persons_detected"": 1}",t,t,85
7752,2025-11-09 20:03:21.93737,input_x,1,0.9383994,0.9383994,0.9383994,"{""persons"": [{""bbox"": [577.9616088867188, 321.2550354003906, 1495.424560546875, 1070.33935546875], ""confidence"": 0.9383993744850159}], ""confidences"": [0.9383993744850159], ""avg_confidence"": 0.9383993744850159, ""max_confidence"": 0.9383993744850159, ""min_confidence"": 0.9383993744850159, ""persons_detected"": 1}",t,t,85
7753,2025-11-09 20:03:22.67924,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,t,85
7754,2025-11-09 20:03:27.539161,input_y,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,t,85
7755,2025-11-09 20:03:28.297243,input_y,1,0.8864446,0.8864446,0.8864446,"{""persons"": [{""bbox"": [399.5501403808594, 537.743408203125, 1285.2733154296875, 1071.0970458984375], ""confidence"": 0.886444628238678}], ""confidences"": [0.886444628238678], ""avg_confidence"": 0.886444628238678, ""max_confidence"": 0.886444628238678, ""min_confidence"": 0.886444628238678, ""persons_detected"": 1}",t,t,85
7756,2025-11-09 20:03:29.046863,input_y,1,0.87220675,0.87220675,0.87220675,"{""persons"": [{""bbox"": [390.56103515625, 488.1896057128906, 1245.860595703125, 1071.6522216796875], ""confidence"": 0.8722067475318909}], ""confidences"": [0.8722067475318909], ""avg_confidence"": 0.8722067475318909, ""max_confidence"": 0.8722067475318909, ""min_confidence"": 0.8722067475318909, ""persons_detected"": 1}",t,t,85
7757,2025-11-09 20:03:37.298674,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,t,85
7758,2025-11-09 20:03:38.05102,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,t,85
7759,2025-11-09 20:03:38.798815,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7760,2025-11-09 20:03:43.558286,input_y,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7761,2025-11-09 20:03:44.305161,input_y,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7762,2025-11-09 20:03:45.059045,input_y,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7763,2025-11-09 20:03:54.321211,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7764,2025-11-09 20:03:55.079458,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7765,2025-11-09 20:03:55.826279,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7766,2025-11-09 20:04:00.580266,input_y,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7767,2025-11-09 20:04:01.330236,input_y,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7768,2025-11-09 20:04:02.077176,input_y,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,t,86
7769,2025-11-09 20:04:10.833071,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,t,86
7770,2025-11-09 20:04:11.580985,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,t,86
7771,2025-11-09 20:04:12.327742,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,t,86
7772,2025-11-09 20:04:17.185536,input_y,1,0.85520285,0.85520285,0.85520285,"{""persons"": [{""bbox"": [406.82794189453125, 480.5030822753906, 1256.5672607421875, 1073.986083984375], ""confidence"": 0.855202853679657}], ""confidences"": [0.855202853679657], ""avg_confidence"": 0.855202853679657, ""max_confidence"": 0.855202853679657, ""min_confidence"": 0.855202853679657, ""persons_detected"": 1}",t,t,86
7773,2025-11-09 20:04:17.937333,input_y,1,0.8881756,0.8881756,0.8881756,"{""persons"": [{""bbox"": [386.49371337890625, 471.2915954589844, 1235.5950927734375, 1073.173095703125], ""confidence"": 0.8881756067276001}], ""confidences"": [0.8881756067276001], ""avg_confidence"": 0.8881756067276001, ""max_confidence"": 0.8881756067276001, ""min_confidence"": 0.8881756067276001, ""persons_detected"": 1}",t,t,86
7774,2025-11-09 20:04:18.690967,input_y,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7775,2025-11-09 20:04:27.460689,input_x,1,0.93517053,0.93517053,0.93517053,"{""persons"": [{""bbox"": [589.4447021484375, 304.87811279296875, 1481.05712890625, 1072.198974609375], ""confidence"": 0.9351705312728882}], ""confidences"": [0.9351705312728882], ""avg_confidence"": 0.9351705312728882, ""max_confidence"": 0.9351705312728882, ""min_confidence"": 0.9351705312728882, ""persons_detected"": 1}",t,f,
7776,2025-11-09 20:04:28.207071,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7777,2025-11-09 20:04:28.957356,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7778,2025-11-09 20:04:33.216674,input_y,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7779,2025-11-09 20:04:33.96843,input_y,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7780,2025-11-09 20:04:34.724047,input_y,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7781,2025-11-09 20:04:42.986305,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,t,87
7782,2025-11-09 20:04:43.743855,input_x,1,0.92716944,0.92716944,0.92716944,"{""persons"": [{""bbox"": [581.376708984375, 307.8453369140625, 1499.800048828125, 1073.0003662109375], ""confidence"": 0.9271694421768188}], ""confidences"": [0.9271694421768188], ""avg_confidence"": 0.9271694421768188, ""max_confidence"": 0.9271694421768188, ""min_confidence"": 0.9271694421768188, ""persons_detected"": 1}",t,t,87
7783,2025-11-09 20:04:44.500237,input_x,1,0.9275712,0.9275712,0.9275712,"{""persons"": [{""bbox"": [590.0317993164062, 310.71514892578125, 1500.038818359375, 1071.73974609375], ""confidence"": 0.927571177482605}], ""confidences"": [0.927571177482605], ""avg_confidence"": 0.927571177482605, ""max_confidence"": 0.927571177482605, ""min_confidence"": 0.927571177482605, ""persons_detected"": 1}",t,t,87
7784,2025-11-09 20:04:49.258436,input_y,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7785,2025-11-09 20:04:50.012132,input_y,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,t,87
7786,2025-11-09 20:04:50.771647,input_y,1,0.9056355,0.9056355,0.9056355,"{""persons"": [{""bbox"": [392.67315673828125, 452.865966796875, 1179.98583984375, 1072.3018798828125], ""confidence"": 0.9056354761123657}], ""confidences"": [0.9056354761123657], ""avg_confidence"": 0.9056354761123657, ""max_confidence"": 0.9056354761123657, ""min_confidence"": 0.9056354761123657, ""persons_detected"": 1}",t,t,87
7787,2025-11-09 20:04:59.041409,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,t,87
7788,2025-11-09 20:04:59.79573,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,t,87
7789,2025-11-09 20:05:00.549215,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,t,87
7790,2025-11-09 20:05:05.41215,input_y,1,0.8477815,0.8477815,0.8477815,"{""persons"": [{""bbox"": [436.7411804199219, 495.2477722167969, 1261.778076171875, 1075.79052734375], ""confidence"": 0.8477814793586731}], ""confidences"": [0.8477814793586731], ""avg_confidence"": 0.8477814793586731, ""max_confidence"": 0.8477814793586731, ""min_confidence"": 0.8477814793586731, ""persons_detected"": 1}",t,t,87
7791,2025-11-09 20:05:06.166433,input_y,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7792,2025-11-09 20:05:06.421494,input_y,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7793,2025-11-09 20:05:15.185548,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,t,88
7794,2025-11-09 20:05:15.936691,input_x,1,0.92778325,0.92778325,0.92778325,"{""persons"": [{""bbox"": [562.6499633789062, 313.3223571777344, 1499.7705078125, 1072.6783447265625], ""confidence"": 0.9277832508087158}], ""confidences"": [0.9277832508087158], ""avg_confidence"": 0.9277832508087158, ""max_confidence"": 0.9277832508087158, ""min_confidence"": 0.9277832508087158, ""persons_detected"": 1}",t,t,88
7795,2025-11-09 20:05:16.687845,input_x,1,0.90436876,0.90436876,0.90436876,"{""persons"": [{""bbox"": [490.39874267578125, 289.820068359375, 1527.4586181640625, 1070.9208984375], ""confidence"": 0.9043687582015991}], ""confidences"": [0.9043687582015991], ""avg_confidence"": 0.9043687582015991, ""max_confidence"": 0.9043687582015991, ""min_confidence"": 0.9043687582015991, ""persons_detected"": 1}",t,t,88
7796,2025-11-09 20:05:20.940904,input_y,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7797,2025-11-09 20:05:21.692126,input_y,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,t,88
7798,2025-11-09 20:05:22.448088,input_y,1,0.89005953,0.89005953,0.89005953,"{""persons"": [{""bbox"": [400.1964111328125, 483.8287353515625, 1241.4595947265625, 1073.8604736328125], ""confidence"": 0.8900595307350159}], ""confidences"": [0.8900595307350159], ""avg_confidence"": 0.8900595307350159, ""max_confidence"": 0.8900595307350159, ""min_confidence"": 0.8900595307350159, ""persons_detected"": 1}",t,t,88
7799,2025-11-09 20:05:30.715958,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,t,88
7800,2025-11-09 20:05:31.469501,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,t,88
7801,2025-11-09 20:05:32.216938,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,t,88
7802,2025-11-09 20:05:36.983398,input_y,1,0.88481754,0.88481754,0.88481754,"{""persons"": [{""bbox"": [401.1200866699219, 482.2713317871094, 1236.563232421875, 1072.9993896484375], ""confidence"": 0.8848175406455994}], ""confidences"": [0.8848175406455994], ""avg_confidence"": 0.8848175406455994, ""max_confidence"": 0.8848175406455994, ""min_confidence"": 0.8848175406455994, ""persons_detected"": 1}",t,t,88
7803,2025-11-09 20:05:37.73757,input_y,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7804,2025-11-09 20:05:38.486859,input_y,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7805,2025-11-09 20:10:00.971502,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7806,2025-11-09 20:10:01.731593,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7807,2025-11-09 20:10:02.484272,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7808,2025-11-09 20:10:07.237198,input_y,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7809,2025-11-09 20:10:07.989785,input_y,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7810,2025-11-09 20:10:08.73789,input_y,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
7811,2025-11-09 20:10:16.992506,input_x,0,,,,"{""persons"": [], ""confidences"": [], ""avg_confidence"": 0.0, ""max_confidence"": 0.0, ""min_confidence"": 0.0, ""persons_detected"": 0}",t,f,
